"","Date","Value"
"268",2019-03-27,0.02462
"269",2019-03-26,0.02462
"270",2019-03-25,0.02462
"271",2019-03-22,0.02462
"272",2019-03-21,0.02462
"273",2019-03-20,0.02462
"274",2019-03-19,0.02462
"275",2019-03-18,0.02462
"276",2019-03-15,0.02462
"277",2019-03-14,0.02462
"278",2019-03-13,0.02462
"279",2019-03-12,0.02462
"280",2019-03-11,0.02462
"281",2019-03-08,0.02462
"282",2019-03-07,0.02462
"283",2019-03-06,0.02462
"284",2019-03-01,0.02462
"285",2019-02-28,0.02462
"286",2019-02-27,0.02462
"287",2019-02-26,0.02462
"288",2019-02-25,0.02462
"289",2019-02-22,0.02462
"290",2019-02-21,0.02462
"291",2019-02-20,0.02462
"292",2019-02-19,0.02462
"293",2019-02-18,0.02462
"294",2019-02-15,0.02462
"295",2019-02-14,0.02462
"296",2019-02-13,0.02462
"297",2019-02-12,0.02462
"298",2019-02-11,0.02462
"299",2019-02-08,0.02462
"300",2019-02-07,0.02462
"301",2019-02-06,0.02462
"302",2019-02-05,0.02462
"303",2019-02-04,0.02462
"304",2019-02-01,0.02462
"305",2019-01-31,0.02462
"306",2019-01-30,0.02462
"307",2019-01-29,0.02462
"308",2019-01-28,0.02462
"309",2019-01-25,0.02462
"310",2019-01-24,0.02462
"311",2019-01-23,0.02462
"312",2019-01-22,0.02462
"313",2019-01-21,0.02462
"314",2019-01-18,0.02462
"315",2019-01-17,0.02462
"316",2019-01-16,0.02462
"317",2019-01-15,0.02462
"318",2019-01-14,0.02462
"319",2019-01-11,0.02462
"320",2019-01-10,0.02462
"321",2019-01-09,0.02462
"322",2019-01-08,0.02462
"323",2019-01-07,0.02462
"324",2019-01-04,0.02462
"325",2019-01-03,0.02462
"326",2019-01-02,0.02462
"327",2018-12-31,0.02462
"328",2018-12-28,0.02462
"329",2018-12-27,0.02462
"330",2018-12-26,0.02462
"331",2018-12-24,0.02462
"332",2018-12-21,0.02462
"333",2018-12-20,0.02462
"334",2018-12-19,0.02462
"335",2018-12-18,0.02462
"336",2018-12-17,0.02462
"337",2018-12-14,0.02462
"338",2018-12-13,0.02462
"339",2018-12-12,0.02462
"340",2018-12-11,0.02462
"341",2018-12-10,0.02462
"342",2018-12-07,0.02462
"343",2018-12-06,0.02462
"344",2018-12-05,0.02462
"345",2018-12-04,0.02462
"346",2018-12-03,0.02462
"347",2018-11-30,0.02462
"348",2018-11-29,0.02462
"349",2018-11-28,0.02462
"350",2018-11-27,0.02462
"351",2018-11-26,0.02462
"352",2018-11-23,0.02462
"353",2018-11-22,0.02462
"354",2018-11-21,0.02462
"355",2018-11-20,0.02462
"356",2018-11-19,0.02462
"357",2018-11-16,0.02462
"358",2018-11-14,0.02462
"359",2018-11-13,0.02462
"360",2018-11-12,0.02462
"361",2018-11-09,0.02462
"362",2018-11-08,0.02462
"363",2018-11-07,0.02462
"364",2018-11-06,0.02462
"365",2018-11-05,0.02462
"366",2018-11-01,0.02462
"367",2018-10-31,0.02462
"368",2018-10-30,0.02462
"369",2018-10-29,0.02462
"370",2018-10-26,0.02462
"371",2018-10-25,0.02462
"372",2018-10-24,0.02462
"373",2018-10-23,0.02462
"374",2018-10-22,0.02462
"375",2018-10-19,0.02462
"376",2018-10-18,0.02462
"377",2018-10-17,0.02462
"378",2018-10-16,0.02462
"379",2018-10-15,0.02462
"380",2018-10-11,0.02462
"381",2018-10-10,0.02462
"382",2018-10-09,0.02462
"383",2018-10-08,0.02462
"384",2018-10-05,0.02462
"385",2018-10-04,0.02462
"386",2018-10-03,0.02462
"387",2018-10-02,0.02462
"388",2018-10-01,0.02462
"389",2018-09-28,0.024583
"390",2018-09-27,0.024583
"391",2018-09-26,0.024583
"392",2018-09-25,0.024583
"393",2018-09-24,0.024583
"394",2018-09-21,0.024583
"395",2018-09-20,0.024583
"396",2018-09-19,0.024583
"397",2018-09-18,0.024583
"398",2018-09-17,0.024583
"399",2018-09-14,0.024583
"400",2018-09-13,0.024583
"401",2018-09-12,0.024583
"402",2018-09-11,0.024583
"403",2018-09-10,0.024583
"404",2018-09-06,0.024583
"405",2018-09-05,0.024583
"406",2018-09-04,0.024583
"407",2018-09-03,0.024583
"408",2018-08-31,0.024583
"409",2018-08-30,0.024583
"410",2018-08-29,0.024583
"411",2018-08-28,0.024583
"412",2018-08-27,0.024583
"413",2018-08-24,0.024583
"414",2018-08-23,0.024583
"415",2018-08-22,0.024583
"416",2018-08-21,0.024583
"417",2018-08-20,0.024583
"418",2018-08-17,0.024583
"419",2018-08-16,0.024583
"420",2018-08-15,0.024583
"421",2018-08-14,0.024583
"422",2018-08-13,0.024583
"423",2018-08-10,0.024583
"424",2018-08-09,0.024583
"425",2018-08-08,0.024583
"426",2018-08-07,0.024583
"427",2018-08-06,0.024583
"428",2018-08-03,0.024583
"429",2018-08-02,0.024583
"430",2018-08-01,0.024583
"431",2018-07-31,0.024583
"432",2018-07-30,0.024583
"433",2018-07-27,0.024583
"434",2018-07-26,0.024583
"435",2018-07-25,0.024583
"436",2018-07-24,0.024583
"437",2018-07-23,0.024583
"438",2018-07-20,0.024583
"439",2018-07-19,0.024583
"440",2018-07-18,0.024583
"441",2018-07-17,0.024583
"442",2018-07-16,0.024583
"443",2018-07-13,0.024583
"444",2018-07-12,0.024583
"445",2018-07-11,0.024583
"446",2018-07-10,0.024583
"447",2018-07-09,0.024583
"448",2018-07-06,0.024583
"449",2018-07-05,0.024583
"450",2018-07-04,0.024583
"451",2018-07-03,0.024583
"452",2018-07-02,0.024583
"453",2018-06-29,0.024583
"454",2018-06-28,0.024583
"455",2018-06-27,0.024583
"456",2018-06-26,0.024583
"457",2018-06-25,0.024583
"458",2018-06-22,0.024583
"459",2018-06-21,0.024583
"460",2018-06-20,0.024583
"461",2018-06-19,0.024583
"462",2018-06-18,0.024583
"463",2018-06-15,0.024583
"464",2018-06-14,0.024583
"465",2018-06-13,0.024583
"466",2018-06-12,0.024583
"467",2018-06-11,0.024583
"468",2018-06-08,0.024583
"469",2018-06-07,0.024583
"470",2018-06-06,0.024583
"471",2018-06-05,0.024583
"472",2018-06-04,0.024583
"473",2018-06-01,0.024583
"474",2018-05-30,0.024583
"475",2018-05-29,0.024583
"476",2018-05-28,0.024583
"477",2018-05-25,0.024583
"478",2018-05-24,0.024583
"479",2018-05-23,0.024583
"480",2018-05-22,0.024583
"481",2018-05-21,0.024583
"482",2018-05-18,0.024583
"483",2018-05-17,0.024583
"484",2018-05-16,0.024583
"485",2018-05-15,0.024583
"486",2018-05-14,0.024583
"487",2018-05-11,0.024583
"488",2018-05-10,0.024583
"489",2018-05-09,0.024583
"490",2018-05-08,0.024583
"491",2018-05-07,0.024583
"492",2018-05-04,0.024583
"493",2018-05-03,0.024583
"494",2018-05-02,0.024583
"495",2018-04-30,0.024583
"496",2018-04-27,0.024583
"497",2018-04-26,0.024583
"498",2018-04-25,0.024583
"499",2018-04-24,0.024583
"500",2018-04-23,0.024583
"501",2018-04-20,0.024583
"502",2018-04-19,0.024583
"503",2018-04-18,0.024583
"504",2018-04-17,0.024583
"505",2018-04-16,0.024583
"506",2018-04-13,0.024583
"507",2018-04-12,0.024583
"508",2018-04-11,0.024583
"509",2018-04-10,0.024583
"510",2018-04-09,0.024583
"511",2018-04-06,0.024583
"512",2018-04-05,0.024583
