"","Date","Value"
"441",2017-12-15,72607
"442",2017-12-14,72428
"443",2017-12-13,72914
"444",2017-12-12,73813
"445",2017-12-11,72800
"446",2017-12-08,72731
"447",2017-12-07,72487
"448",2017-12-06,73268
"449",2017-12-05,72546
"450",2017-12-04,73090
"451",2017-12-01,72264
"452",2017-11-30,71970
"453",2017-11-29,72700
"454",2017-11-28,74139
"455",2017-11-27,74058
"456",2017-11-24,74157
"457",2017-11-23,74486
"458",2017-11-22,74518
"459",2017-11-21,74594
"460",2017-11-17,73437
"461",2017-11-16,72511
"462",2017-11-14,70826
"463",2017-11-13,72475
"464",2017-11-10,72165
"465",2017-11-09,72930
"466",2017-11-08,74363
"467",2017-11-07,72414
"468",2017-11-06,74310
"469",2017-11-03,73915
"470",2017-11-01,73823
"471",2017-10-31,74308
"472",2017-10-30,74800
"473",2017-10-27,75975
"474",2017-10-26,75896
"475",2017-10-25,76671
"476",2017-10-24,76350
"477",2017-10-23,75413
"478",2017-10-20,76390
"479",2017-10-19,76283
"480",2017-10-18,76591
"481",2017-10-17,76201
"482",2017-10-16,76891
"483",2017-10-13,76989
"484",2017-10-11,76659
"485",2017-10-10,76897
"486",2017-10-09,75726
"487",2017-10-06,76054
"488",2017-10-05,76617
"489",2017-10-04,76591
"490",2017-10-03,76762
"491",2017-10-02,74359
"492",2017-09-29,74293
"493",2017-09-28,73567
